NAME,2019_population,STATE,COUNTY,2018_population,2017_population,2016_population,2015_population,2014_population,2013_population,2012_population,2011_population,2010_population,2009_population,2008_population,2007_population,2006_population,2005_population,2019_home_values,2018_home_values,2017_home_values,2016_home_values,2015_home_values,2014_home_values,2013_home_values,2012_home_values,2011_home_values,2010_home_values,2009_home_values,2008_home_values,2007_home_values,2006_home_values,2005_home_values,GEO_ID,LAND AREA,WATER AREA,LATITUDE,LONGITUDE,SSP3_2020,SSP3_2025,SSP3_2030,SSP3_2035,SSP3_2040,Population_Delta,Population_Delta_Raw,Population_pct_change,HV_pct_change,Population_Price_Discrepancy
"Columbia County, Georgia",156714,13,73,154291,151579,147450,144052,139257,135416,131627,128112,124815,112958,110627,109100,106887,103069,238200,217500,201000,189800,185500,171800,173700,169000,162800,179200,177600,171100,164300,159500,149900,13073,751329062.0,45363096.0,33.5505555,-82.2513423,163027.6253,180878.0734,197687.4072,213770.9277,228823.38,0.10949339455292904,17850.44809999998,0.5204765739456092,0.5890593729152769,0.06858279896966768
"Guadalupe County, Texas",166847,48,187,163694,159659,155265,151249,147250,143183,139841,135757,132431,121432,117172,112777,108410,101236,224100,210200,190000,182300,173900,165900,162400,161000,154800,149500,152600,148000,142300,112800,114700,48187,1842257555.0,9104439.0,29.5832081,-97.9490268,170214.9467,188237.0565,204917.1294,220843.7144,235927.9876,0.10587853857372212,18022.109800000006,0.6480994902998933,0.953792502179599,0.30569301187970566
"Comal County, Texas",156209,48,91,148373,141009,134788,129048,123694,118480,114384,111963,109382,114525,109635,105187,101181,94794,308600,286900,282300,268200,239300,230100,197900,200300,203400,205300,209500,171300,165600,162900,152600,48091,1449037063.0,39890210.0,29.8030193,-98.2552006,148936.1539,168251.2379,186479.3786,203808.1797,220086.3809,0.12968700677586117,19315.084000000003,0.6478785577146233,1.0222804718217562,0.37440191410713286
"Berkeley County, South Carolina",227907,45,15,221091,217937,210898,202786,198205,194020,189781,183525,178783,173498,169327,163622,152282,146975,215500,195900,184500,174500,164700,155100,152100,155600,140700,149400,146600,149900,162500,138600,116000,45015,2846025358.0,337682749.0,33.2077,-79.9536554,224096.115,243750.1038,261500.4409,277516.744,291534.4909,0.08770338923546275,19653.98880000002,0.550651471338663,0.8577586206896551,0.30710714935099215
"Cass County, North Dakota",181923,38,17,181516,177787,175249,171512,167005,162829,156157,152368,150230,143339,139918,137582,132525,126098,243800,230300,224800,203100,200500,179600,170600,161200,155900,155800,147100,150700,145700,142000,124400,38017,4571166077.0,7672824.0,46.9270033,-97.2523747,192780.6345,213665.2242,233875.3567,253154.0537,272424.3075,0.10833344207091514,20884.58970000001,0.4427112246030865,0.9598070739549839,0.5170958493518973
"York County, South Carolina",280979,45,91,274118,266439,258526,251195,245346,239363,234635,230528,226971,227003,217448,208827,199035,185731,236500,219500,199400,180700,171200,162900,157500,155500,155000,166600,164000,162600,156200,143400,143500,45091,1762732402.0,39400683.0,34.9701904,-81.1831885,274034.4342,295173.2801,314104.1207,331300.3645,346503.5073,0.07713937834751117,21138.845899999957,0.5128276916615966,0.6480836236933798,0.1352559320317832
"Ector County, Texas",166223,48,135,162124,157087,157462,159436,153904,149378,144325,140111,137145,134625,131941,129570,127462,123331,164100,148000,149500,126700,126100,123700,91600,95500,90400,88000,90200,77900,70300,54000,53100,48135,2324999033.0,10597635.0,31.8653008,-102.5425068,181525.7673,202755.5797,224125.6408,246081.036,268332.5184,0.11695205984125866,21229.812399999995,0.34777955258613,2.0903954802259888,1.7426159276398587
"Brazos County, Texas",229211,48,41,226758,222830,220417,215037,209152,203164,200665,197632,195693,179992,175122,170954,159006,143502,231900,231700,190600,187600,177000,161200,150100,157100,155000,138800,144300,151000,134400,121700,123400,48041,1516296157.0,15002941.0,30.6567254,-96.3023887,235544.0288,256961.5935,276901.951,293271.4254,309908.1473,0.0909280732316318,21417.564699999988,0.5972669370461736,0.8792544570502431,0.28198752000406946
"Midland County, Texas",176832,48,329,172578,165049,162565,161077,155830,151468,146645,140308,136975,132316,129494,126408,124380,119720,263900,215300,202100,190400,198000,168100,162800,148900,141600,151000,124800,136500,111300,87800,85200,48329,2331764835.0,4533910.0,31.8708957,-102.0243264,186181.6958,210518.7796,235081.8738,260369.7467,285441.4558,0.13071684461475414,24337.083800000022,0.4770464416972937,2.097417840375587,1.6203713986782933
"Weld County, Colorado",324492,8,123,314305,304633,294932,285174,277670,269785,263691,258638,254270,254759,249775,243750,236857,223966,366800,325400,295100,274200,242700,212000,195200,194400,197400,182500,194700,199400,197300,201800,195400,8123,10326898753.0,76554163.0,40.5557944,-104.3836487,312277.9102,337162.3408,359653.774,380729.9184,399355.4641,0.0796868103288595,24884.43060000002,0.4488449139601547,0.8771750255885363,0.42833011162838164
