NAME,2019_population,2018_population,2017_population,2016_population,2015_population,2014_population,2013_population,2012_population,2011_population,2010_population,2009_population,2008_population,2007_population,2006_population,2005_population,2019_home_values,2018_home_values,2017_home_values,2016_home_values,2015_home_values,2014_home_values,2013_home_values,2012_home_values,2011_home_values,2010_home_values,2009_home_values,2008_home_values,2007_home_values,2006_home_values,2005_home_values
"Northumberland County, Pennsylvania",90843,91083,92029,92541,93246,93944,94076,94428,94558,94366,91311,91091,91003,91654,88726,116300,119400,115900,118700,116600,107000,108100,100600,89200,100300,92100,101500,89600,81500,82800
"Merrimack County, New Hampshire",151391,151132,149216,148582,147994,147171,146849,146761,146579,146400,149071,148161,148274,148085,140311,252300,239100,231500,231100,220400,224400,217500,226100,230400,234700,241400,255700,250200,236700,231700
"Tuscarawas County, Ohio",91987,92176,92297,92420,92916,92788,92672,92392,92508,92542,91137,91348,91398,91766,90781,146100,141100,127100,126600,125100,107800,108500,113400,106200,111600,105300,116400,108800,109000,106100
"Muskegon County, Michigan",173566,173588,173693,173408,172790,172344,171008,170182,171302,172068,173951,174344,174386,175231,169500,131100,123300,119900,106500,105400,96200,96200,99900,94600,103900,108200,116600,117400,118400,112200
"Sheboygan County, Wisconsin",115340,115456,115344,115427,115569,115290,114922,115009,115149,115472,114560,114561,114504,114756,111100,169100,167300,154900,154700,145000,143700,146500,145700,158500,158000,152100,156300,149300,147100,135800
"DeKalb County, Illinois",104897,104143,104733,104528,104352,105462,104741,104704,104743,105201,107333,106321,103729,100139,89223,188600,178800,169800,168400,162600,168600,160600,161900,168400,184300,191700,196600,205000,189000,177100
"Monmouth County, New Jersey",618795,621354,626351,625846,628715,629279,629672,629384,631020,630966,644105,642448,642030,635285,625874,445000,436200,421700,411300,396000,387900,380600,373500,387400,399900,402800,435000,445000,444800,421800
"Mobile County, Alabama",413210,413757,413955,414836,415395,415123,414079,413936,412577,413277,411721,406309,404406,404157,393585,139600,131700,131200,126800,120500,120700,121200,125500,121700,131800,122100,125700,114700,105300,97900
"Warren County, New Jersey",105267,105779,106798,106617,106869,106917,107379,107653,108339,108714,109638,109876,109737,110919,108910,262300,269900,271900,252200,256000,246600,255400,259500,258500,287700,298600,314600,320900,309100,283800
"St. Joseph County, Indiana",271826,270771,270434,269141,268441,267618,266709,266344,266700,266961,267613,266680,266088,266678,252673,136800,136500,126600,126900,122600,112800,104200,116500,112500,121700,120400,116300,114600,117400,106300
"Pottawattamie County, Iowa",93206,93533,93386,93582,93671,93128,92728,92913,93518,93359,90224,89647,89409,90218,87999,145200,141700,141500,136400,136400,129100,121600,123800,125100,130600,132600,124300,128500,119700,114100
"Washington County, Maryland",151049,150926,150578,150292,149585,149573,149588,149180,148203,147558,145910,145384,145113,143748,132574,212400,211600,219100,202700,206900,201800,203600,187500,206500,217500,222000,256100,242000,239600,188400
"Bonneville County, Idaho",119062,116854,114595,112232,110089,108623,107517,106684,105772,104592,101329,99135,96545,94630,90711,212300,198900,170900,165300,166200,157500,153100,151900,150400,159000,160600,165500,146200,131000,118100
"Kanawha County, West Virginia",178124,180454,183293,186241,188332,190223,191275,192179,192315,192976,191663,191018,191306,192419,190137,106800,119600,111900,119000,110600,103600,107000,97900,98500,98300,103500,98600,98900,94100,90700
"Eaton County, Michigan",110268,109826,109027,109160,108801,108579,108348,108008,108056,107838,106077,106781,107390,107237,105632,169900,166000,156000,143300,146000,131600,134400,128900,130800,143300,148700,160100,152800,159800,160200
"Cascade County, Montana",81366,81643,81654,81755,82278,82344,82384,81723,81837,81519,82178,82026,81775,79385,77462,190100,189300,174300,169500,168600,160900,160800,162400,152400,158300,150400,154400,139600,132400,112600
