NAME,2019_population,2018_population,2017_population,2016_population,2015_population,2014_population,2013_population,2012_population,2011_population,2010_population,2009_population,2008_population,2007_population,2006_population,2005_population,2019_home_values,2018_home_values,2017_home_values,2016_home_values,2015_home_values,2014_home_values,2013_home_values,2012_home_values,2011_home_values,2010_home_values,2009_home_values,2008_home_values,2007_home_values,2006_home_values,2005_home_values
"San Juan County, New Mexico",123958,125043,126926,115079,118737,123785,126503,128529,128200,130145,124131,122500,122427,126473,124994,154200,149600,156300,153100,147800,151500,130500,145700,155800,153200,156200,158500,148200,126700,96000
"Putnam County, Florida",74521,74163,73464,72277,72023,72143,72577,73263,74041,74262,72893,73459,73821,74083,72148,100400,90600,86600,83700,82300,83600,83700,90900,92300,89000,96600,119600,104300,104300,81900
"Grays Harbor County, Washington",75061,73901,72697,71628,71122,70818,71078,71692,72546,72882,71797,71342,71335,71587,68309,220600,193300,169200,151800,157400,169700,156300,154500,149500,162200,157600,180500,146600,143800,129700
"Cochise County, Arizona",125922,126770,124756,125770,126427,127448,129473,132088,133289,131789,129518,129006,127866,127757,120439,154000,142200,155600,130100,146900,144800,150000,140700,143200,138700,155000,170100,156100,136700,115400
"Sullivan County, New York",75432,75498,75485,74801,74877,75943,76665,76793,76900,77500,75828,76189,76303,76588,71914,173100,179900,177500,167200,168500,161700,167300,165900,168100,183800,179000,194300,181900,180600,157300
"Aroostook County, Maine",67055,67111,67653,67959,68628,69447,70055,70868,71482,71720,71488,71676,72047,73008,71046,93900,96700,101000,98800,104200,89000,90400,93300,93800,95000,84900,89200,84600,78600,73300
"Citrus County, Florida",149657,147929,145647,143621,141058,139377,139271,139360,140031,141129,140357,141416,140169,138143,132209,156400,137600,128900,121900,115900,116300,107500,111300,109000,119900,137700,155200,147900,143100,127900
"Klamath County, Oregon",68238,67653,66935,66443,66016,65455,65910,65912,65552,64723,66890,64854,66031,67673,65178,186300,169500,179300,155500,150900,152000,144400,140200,165900,163500,172300,175500,180400,156300,124700
"Lewis County, Washington",80707,79604,78200,77066,75882,75128,75081,75621,75901,75487,74741,74132,73645,73585,71430,247600,246400,197900,185300,169900,173200,163700,187500,180600,190500,182200,200300,194700,172400,143800
"Highlands County, Florida",106221,105424,102883,100917,99491,98236,97616,98128,98630,98700,98704,100011,99349,97987,94177,144900,105800,100200,92100,92600,80800,80500,86000,85400,108800,114800,131600,139000,118800,100700
"Genesee County, Michigan",405813,406892,407385,408615,410849,412895,415376,418408,422080,424926,424043,428790,434715,441966,438589,128900,118700,110000,106900,99200,93800,82800,84100,87900,94100,107100,126800,129300,131600,127200
"Cattaraugus County, New York",76117,76840,77348,77677,77922,78600,78892,79458,79832,80229,79689,79688,80087,81534,79201,93700,86200,88300,83200,88100,85400,85000,81500,81600,77800,77800,78200,76700,74100,70600
"Jefferson County, Arkansas",66824,68114,69115,70016,71565,72297,73191,74723,76246,77358,78705,78373,78986,80655,76258,81600,84100,85800,88000,80200,83900,78400,85500,84900,74300,78900,80100,69400,68500,62300
"Shiawassee County, Michigan",68122,68192,68446,68554,68619,68933,68900,69232,69841,70606,70006,70880,71753,72912,72224,138400,125100,133200,114100,113100,102400,100300,96900,106900,114700,122800,134000,138700,137400,129400
"Van Buren County, Michigan",75677,75448,75353,75223,75077,75199,75455,75454,76131,76186,78227,77801,77931,79018,76896,152700,150400,136200,131300,122100,121600,113600,123000,110500,124200,117100,132200,125500,132300,116400
"Scioto County, Ohio",75314,75502,75929,76088,76825,77258,78153,78477,79277,79506,76334,76587,75958,76441,73403,115100,99700,101100,100300,89500,93600,90600,93100,84800,91700,80900,90100,85600,77600,78800
"Cambria County, Pennsylvania",130192,131730,133054,134732,136411,137732,140499,141584,143728,143498,143998,144319,144995,146967,138963,96800,94600,91600,93400,89100,88800,85300,85400,88100,86200,90400,84600,89600,82100,72100
"Pinal County, Arizona",462789,447138,430237,418540,406584,401918,389350,387365,382992,383842,340962,327301,299246,271059,214319,213300,200200,179900,166300,156500,145900,135100,110100,104300,123500,137800,168500,197500,207500,131000
"Kennebec County, Maine",122302,122083,121821,120569,119980,121112,121164,121853,121935,122143,121090,120959,120839,121068,117620,169300,156300,163100,152900,151900,148600,151500,150300,153400,153800,154400,143000,144500,140900,121900
"Caldwell County, North Carolina",82178,82029,81981,81449,81287,81484,81990,81930,82395,82998,79914,80059,79454,79841,77918,131100,122500,119800,110500,106800,115700,105600,101900,107300,107200,102800,111800,100800,105600,109200
"Cowlitz County, Washington",110593,108987,106910,105160,103468,102133,101860,101996,102478,102501,101966,101254,100467,99905,95905,281300,244000,208900,197000,187900,165400,179300,169800,174600,194200,202100,210800,177500,179000,153500
"Saginaw County, Michigan",190539,190800,191934,192326,193307,195012,196542,198353,199088,199911,200050,200745,202268,206300,202037,108300,105800,104300,96200,93500,89700,95100,92200,96700,104200,103900,113000,114000,115700,111500
"Douglas County, Oregon",110980,110283,109405,108457,107685,106972,106940,107164,107490,107638,103205,104059,104119,105117,102678,218600,216400,200600,183400,170400,171200,163800,164800,180100,172200,176700,210100,190400,174000,150900
"Sussex County, New Jersey",140488,140799,141682,142522,143673,144909,145992,147442,148517,149239,151118,150909,151478,153384,151443,279600,269300,268500,265500,267600,265200,267900,270600,284200,293700,306500,325800,341300,332400,293900
"Hardin County, Kentucky",110958,110356,108071,107316,106439,108266,108191,107025,107456,106933,99770,98546,97949,97087,93024,158200,162600,151200,162200,145300,142200,142200,142500,138400,143400,142600,143800,123500,121600,120600
"Navajo County, Arizona",110924,110445,108956,110026,108277,108101,107322,107094,107398,107551,112975,112757,111273,111399,106192,148000,124600,138900,98700,120900,104400,98500,98300,98700,133700,144000,161500,126900,88000,94100
"Wood County, Wisconsin",72999,73055,73126,73107,73435,73608,73959,74424,74785,74793,73932,73756,73944,74774,73988,131000,129400,135500,134400,127600,124600,120800,116700,113600,124000,121200,115700,116600,107700,104900
"Wayne County, New York",89918,90064,90670,90798,91446,92051,92473,92962,93436,93753,91291,91564,91291,92889,91951,124000,130600,125000,119400,120900,117100,118000,103800,106900,104200,109700,113000,102000,99200,98700
"Richland County, Ohio",121154,121099,120589,121107,121707,121942,121773,122673,123510,124177,124490,124999,125679,127010,121365,118600,114600,107900,104100,102600,100400,101400,96800,104700,106300,106700,115500,122200,110900,106600
"Marion County, Ohio",65093,65256,64967,65096,65355,65720,65905,66238,66212,66482,65655,65768,65248,65583,61031,118200,110700,98200,88200,91800,95100,96400,99300,100600,94800,100000,97500,97600,98100,91000
"Wayne County, Michigan",1749343,1753893,1753616,1749366,1759335,1764804,1775273,1792365,1802096,1815734,1925848,1949929,1985101,1971853,1966909,134300,120700,114400,105300,92400,84900,78100,77200,83100,89500,98900,128100,137300,139500,135900
"Ashtabula County, Ohio",97241,97493,97807,98231,98632,99175,99811,100389,101345,101429,100767,100648,101141,102703,101082,128200,112700,113400,111400,107300,100800,103900,103300,110400,114800,118300,118500,117100,117600,117700
"Yuba County, California",78668,78041,77031,75275,74492,73966,73340,72926,72578,72388,72925,73067,72098,70396,65818,287600,273600,253000,253800,206800,169700,169800,175800,162600,173700,180700,219700,284100,286400,247000
"Cleveland County, North Carolina",97947,97645,97334,97144,96879,97076,97047,97474,97489,98050,99274,99015,98453,98373,95778,134500,125800,112500,121800,112500,99400,98800,102500,103800,110200,109000,97700,102000,101300,93100
"Macon County, Illinois",104009,104712,105801,106550,107303,108350,109278,110122,110730,110715,108204,108328,108732,109309,106433,105500,102100,97000,99300,98200,95100,96100,91100,94700,91800,93800,92600,89000,87000,83500
"Rockingham County, North Carolina",91010,90690,90949,91393,91758,91696,91878,92720,93329,93641,92252,92282,92421,93063,91419,113600,114100,118800,109100,109000,110400,106700,99300,103300,102800,96400,97400,107900,94600,96800
"Lawrence County, Pennsylvania",85512,86184,87069,87294,88082,88771,89333,89871,90535,90968,90160,90272,90991,91795,89742,121200,110300,115200,107200,97600,99300,93700,98900,96600,99500,94200,87800,85700,90300,91100
"Litchfield County, Connecticut",180333,181111,182177,182571,183603,184993,186924,187530,188789,189840,188728,187745,188273,190119,187426,255800,256100,260700,243000,248300,255900,250500,248400,265500,272700,279700,285400,305400,292200,254200
"Winnebago County, Illinois",282572,284081,284778,285873,287078,288542,290666,292069,293993,295127,299702,300252,298759,295635,283565,126500,121800,118300,117400,117800,108200,116600,118700,124700,129900,131000,134600,124800,119400,114300
"Burke County, North Carolina",90485,90382,89293,88851,88842,89486,89842,90505,90904,90771,89548,89361,88975,90054,85727,141800,119400,125100,116200,120700,115800,113500,107000,108500,114400,110500,109900,105200,99700,95500
"Kings County, California",152940,151366,150101,149785,150965,150269,150960,151364,153765,153174,148764,149518,148875,146153,121418,247600,231100,224500,190500,183000,169200,169200,161200,169600,184600,204800,226300,240700,228000,188800
"Onslow County, North Carolina",197938,197683,193893,187136,186311,187589,185220,183263,179719,179471,173064,165938,162745,150673,125251,165300,154900,158600,151500,147400,156800,157000,154200,153100,149600,141800,141100,129300,119100,101900
"Monroe County, Michigan",150500,150439,149649,149208,149568,149824,150376,151048,151560,151932,152721,152949,153608,155035,152392,173200,168800,165600,158800,145800,140500,132100,128100,137100,147400,150300,169400,170100,168400,164900
"Valencia County, New Mexico",76688,76456,75940,75626,75737,75817,76284,76631,77070,76759,72913,67893,67998,68427,67135,160900,141500,131100,140600,129700,129600,132900,134700,141600,135200,131200,131200,127600,123000,105200
"Orangeburg County, South Carolina",86175,86934,87476,87903,89208,90090,90942,91476,91910,92346,90112,90336,89952,90845,86924,88600,99500,92800,95800,96100,88900,89800,82900,77400,88100,81800,80100,79200,70400,74000
"Vermilion County, Illinois",75758,76806,77909,78111,79282,79728,80329,80727,81509,81551,80067,80680,81191,81941,79235,80100,85000,77900,79900,73800,76400,72000,79400,76900,74000,78300,73200,73000,73700,65900
"Kankakee County, Illinois",109862,110024,109605,110008,110879,111375,112120,113040,113698,113502,113215,112524,110705,109090,103593,153300,147300,151100,140000,136300,136700,135100,148800,138200,157500,147700,148900,139400,138600,118500
"Salem County, New Jersey",62385,62607,62792,63436,64180,64715,65166,65774,65902,66058,66342,66141,66016,66595,65124,183800,178200,192800,183400,191200,180500,184900,185800,193700,196100,190300,215800,188800,184000,148700
"Walker County, Alabama",63521,63711,64058,64967,65294,65471,65998,66221,66661,66947,68742,68970,68816,70034,69096,135600,109900,104100,89100,90500,78900,82400,81800,81800,78500,82100,89400,81800,77300,70700
"Dougherty County, Georgia",87956,91243,89502,90017,91332,92407,92969,94501,94788,94577,95859,95754,95693,94773,90508,115500,104100,101400,90000,100900,102800,96900,103600,101400,97400,107200,101800,101500,99300,92300
"Cape May County, New Jersey",92039,92560,93553,94430,94727,95344,95897,96304,96601,97253,96092,95838,96422,97724,96630,320900,306900,297600,290900,311800,296800,308200,305900,323100,327300,335700,351000,340000,348000,304400
"Wayne County, Indiana",65884,65936,66185,66568,67001,67671,67893,68346,68643,68853,67552,67795,68260,68846,66972,102100,92000,105900,98700,102400,90700,87900,88300,89100,95200,102300,104900,95300,99400,96100
"Androscoggin County, Maine",108277,107679,107651,107319,107233,107440,107604,107609,107398,107623,106539,106877,106815,107552,104298,173900,158900,153500,155800,147500,153800,145900,152500,154600,158400,157700,161500,150000,144200,140500
"Christian County, Kentucky",70461,71671,70416,72351,73309,74250,74167,75427,73591,74179,80938,79820,80868,66989,64062,128900,122600,122800,113200,104500,112800,111700,107600,96600,104300,98700,99200,93800,88400,81700
"Berkshire County, Massachusetts",124944,126348,126313,126903,127828,128715,129585,130016,130458,131144,129288,129395,129798,131117,125654,229900,224800,205900,198100,209400,202200,199700,206400,205900,204000,208500,208900,192300,190100,170700
"Craven County, North Carolina",102139,102912,102578,103445,103451,104510,104489,104770,104786,103908,98529,96892,96746,94875,86369,152800,168300,159600,158600,156900,152000,152000,151000,150700,146000,159000,153300,157100,135600,118200
"Island County, Washington",85141,84460,83159,82636,80593,79275,78801,79177,78971,78681,81054,81424,81326,81489,77698,383100,392500,363800,332900,307500,296900,277900,278000,301600,294000,321600,337900,322300,267300,233700
"St. Clair County, Illinois",259686,261059,262479,262759,264052,265729,266955,268858,270259,270419,263617,262291,261316,260919,255072,140100,132200,128500,132700,115000,123600,119500,119300,131700,124900,127800,123200,122500,106900,100000
"Monroe County, Pennsylvania",170271,169507,168046,166098,166397,166314,167148,168798,169882,169896,166355,165058,164722,165685,159175,177600,173500,164000,164200,166700,167800,176600,178400,191800,202300,205000,215700,211000,202100,175700
"Crawford County, Pennsylvania",84629,85063,86159,86257,86484,87175,87376,87598,88740,88657,88521,88411,88663,89389,85445,114600,113700,114600,114500,110400,100300,100400,104600,103700,102900,98700,100800,94400,90300,88300
"Nash County, North Carolina",94298,94016,93991,94005,93919,94357,95093,95708,96116,95938,94743,93674,92949,92312,89157,129900,131700,131700,130400,118200,117200,110500,115300,123900,115700,110100,124700,116200,110700,111400
"Calhoun County, Alabama",113605,114277,114728,114611,115620,115916,116736,117296,117797,118510,114081,113419,113103,112903,109762,121600,121800,117700,115600,111400,106500,92900,105800,99100,102500,99500,99800,94200,94600,84700
"Columbiana County, Ohio",101883,102665,103077,103685,104806,105686,105893,106507,107570,107800,107722,107873,108698,110542,107164,116100,102900,102000,110000,109400,99800,94400,105000,95800,92100,95800,102300,104700,94700,93400
"Ocean County, New Jersey",607186,601651,597943,592497,588721,586301,583414,580470,579369,577603,573678,569111,565493,562335,550447,292100,285200,279600,272900,270200,258500,257700,262700,266500,279200,283100,298600,310100,310800,279900
"Armstrong County, Pennsylvania",64735,65263,65642,66486,67052,67785,68107,68409,68568,68839,67851,68790,69059,70096,69501,115200,115300,114400,94500,108200,89400,90200,94700,92800,90200,92700,85900,90800,82400,85000
"Surry County, North Carolina",71783,71948,72224,72113,72743,72968,73050,73561,73714,73694,72496,72468,72380,72687,71330,135100,123100,125300,118100,125200,116400,122000,113400,102000,118400,98000,110700,97700,95300,96500
"Trumbull County, Ohio",197974,198627,200380,201825,203751,205175,206442,207406,209264,209936,210157,211317,213475,217362,215254,100400,105400,105700,106400,99800,98500,96700,94200,95300,101000,98400,104500,105300,103200,100400
"Calhoun County, Michigan",134159,134487,134128,134386,134314,134878,135012,135099,135490,136072,135616,135861,136615,137991,134628,115700,107700,116200,113900,101400,95800,95300,96000,100000,103100,100400,113200,113600,114200,104500
"Lake County, California",64386,64382,64246,64116,64591,64184,63860,63983,64323,64771,65279,64866,64664,65933,63962,255200,245700,210500,217400,167600,159300,166400,149300,192200,196200,252500,256600,301800,317800,255300
"Bibb County, Georgia",153159,153095,152862,152760,153721,153905,154721,156462,156433,155715,156060,155216,154709,154903,149248,128000,125300,117400,113000,106600,110600,123000,117100,131400,129300,119000,121100,118400,99300,109500
"Manitowoc County, Wisconsin",78981,79074,79175,79536,79806,80160,80654,80671,80976,81349,80583,80641,80928,81911,80612,140300,129900,123100,129100,128800,124400,126200,126900,126000,124600,125700,132400,121500,115900,119900
"Madison County, Indiana",129569,129641,129498,129296,129723,130069,130482,130348,131235,131642,131417,131501,131312,130575,125161,108500,107200,94200,92900,88400,89300,96300,88500,93800,91600,95400,95100,97200,96900,97600
"Wilkes County, North Carolina",68412,68557,68576,68740,68502,68838,69023,69306,68984,69287,66555,66655,66844,67310,66492,138100,109000,135400,130400,126000,115700,102400,114600,112000,110800,121500,103700,111200,95600,88100
"Lenawee County, Michigan",98451,98266,98623,98504,98573,99047,99188,98987,99440,99763,99837,100801,101243,102191,97102,144300,141800,141800,136300,123600,119100,108900,109600,116100,118000,135800,150700,143600,144600,143600
"Henderson County, Texas",82737,82299,81064,79901,79545,79290,78675,79094,78826,78647,78921,78814,78897,80222,78744,119800,106300,116000,100400,108800,86600,90500,85100,83700,94300,86000,96300,79100,82900,75200
"St. Clair County, Michigan",159128,159337,159350,159587,159875,160078,160469,160644,161642,162789,167562,168894,170119,171725,169749,169600,161400,154900,145100,131000,126800,113100,118000,116500,122900,139900,162100,154800,162400,156700
"Berrien County, Michigan",153401,154141,154259,154010,154636,155233,155252,156067,156941,156805,160472,159481,159589,161705,158224,156900,152900,150400,153600,141200,141600,123100,131000,124400,130500,135000,147100,138700,128500,127400
"Somerset County, Pennsylvania",73447,73952,74501,75061,75522,76218,76520,76957,77405,77626,76953,77454,77861,78508,74617,105300,106500,110000,104200,99800,94400,103900,99200,96700,93300,97400,89900,94500,82900,81200
"Jefferson County, Ohio",65325,65767,66359,66704,67347,67694,67964,68389,68828,69614,67691,68526,68730,70125,68436,98600,89500,97300,87400,88300,85700,84000,86600,87500,85500,83500,86300,85900,82600,79800
"Schuylkill County, Pennsylvania",141359,142067,142569,143573,144590,145797,146920,147063,147513,148228,146952,147254,147269,147405,139811,109200,102300,101900,97600,93400,94800,91700,91600,93400,96700,92800,85300,88800,80700,72600
"Windham County, Connecticut",116782,117027,116359,116192,116573,116998,117604,117599,118151,118519,117518,117345,117038,116872,111660,213200,207300,198600,203000,198000,187400,197300,201500,204200,227800,224600,241000,231100,230700,204000
"Clark County, Ohio",134083,134585,134557,134786,135959,136554,136167,137206,137691,138193,139671,139859,140477,141872,139053,118300,119200,121000,109500,102100,100800,102300,101300,110300,102000,111800,110700,110200,111400,107600
"Chautauqua County, New York",126903,127939,129046,129504,130779,132053,133080,133539,134368,134768,133503,133789,133945,135357,129887,95000,86700,87500,87000,86300,83500,85700,84800,81500,84300,80600,77800,79300,75300,75000
"Darlington County, South Carolina",66618,66802,67265,67234,67548,67799,67935,68139,68299,68617,66445,67031,66833,67551,66072,115500,107400,85500,84900,90800,78000,90200,81200,97000,87100,85200,78700,80600,74100,75300
"Mendocino County, California",86749,87606,88018,87628,87649,87869,87192,87428,87553,87828,86040,86221,86273,88109,86011,431000,381900,409900,333900,344500,318800,297600,297200,298900,360200,369800,414000,469000,457400,385000
"Apache County, Arizona",71887,71818,71606,73112,71474,71828,71934,73195,72401,71676,70591,70207,69980,71118,68070,74400,52300,49400,72800,58400,82900,93900,86200,92600,56100,84400,152300,79300,66700,76600
"Steuben County, New York",95379,95796,96281,96940,97631,98394,98650,99063,99033,98930,96552,96573,96874,98236,97041,106600,102600,97500,100700,92400,98100,90900,89300,85700,86300,81200,84000,82500,82100,70200
"Floyd County, Georgia",98498,97927,97613,96560,96504,96063,95821,96177,95989,96274,96250,95980,95618,95322,90124,138900,128200,135000,119700,120600,132200,115500,111000,107500,112600,120400,125900,122700,110600,104300
"Niagara County, New York",209281,210433,211328,211758,212652,213525,214249,215124,216011,216546,214557,214464,214845,216130,212573,136500,132700,124900,122900,115700,105500,106100,107600,102300,107700,99900,96900,95800,90700,91600
"Warren County, New York",63944,64265,64532,64567,64688,64973,65337,65538,65831,65697,66021,65971,66143,66087,64276,204500,195200,194200,197300,187800,197100,186300,185000,195000,205600,181800,191200,182800,159700,143300
"Umatilla County, Oregon",77950,77516,76985,76456,76531,76705,76720,76820,76725,76079,73347,73526,73491,72928,69526,199600,185900,172000,146800,162500,139700,138600,136700,148300,150700,140300,145400,138200,123700,115400
"Hernando County, Florida",193920,190865,186553,182835,178439,175855,174441,173422,173094,173008,171233,171689,169070,165409,156325,172100,153300,142700,126800,121200,111900,105100,101500,111800,125900,143000,158900,172400,179100,144600
"Bannock County, Idaho",87808,87138,85269,84377,83744,83347,83249,83800,83691,83071,82539,80812,79925,78443,75817,172900,165800,156900,146100,151500,139600,145300,148000,143000,144600,134700,143100,128000,117700,99900
"Mahoning County, Ohio",228683,229642,229796,230008,231900,233204,233869,235145,237270,238310,236735,237978,240420,251026,240774,109300,114700,106200,100700,99600,98000,94600,97400,96000,96600,93400,99000,99700,99100,94500
"Linn County, Oregon",129749,127335,125047,122849,120547,119356,118765,118360,118122,116910,116584,115348,113264,111489,107920,257200,254300,216100,190700,176300,167400,173800,166700,169900,180600,184200,191400,179500,163600,148500
"Cayuga County, New York",76576,77145,77603,77861,78288,78823,79477,79552,79738,79978,79526,79823,80066,81243,77016,132400,137500,120900,127000,122600,111700,119800,108600,102300,102400,103100,96900,103000,93200,87000
"Sumter County, South Carolina",106721,106512,106847,107396,107480,107919,108123,108052,107460,107570,104495,104148,103943,104430,102146,127800,113700,123500,110900,100900,111100,117700,107700,101400,107900,99800,97500,96800,92200,86100
"Madison County, Tennessee",97984,97605,97643,97663,97610,98178,98733,98656,98255,98395,97317,96376,96518,95894,91316,124200,133700,131200,134500,132500,112300,122500,111700,110600,113300,108900,120900,116100,109500,107700
"Allegany County, Maryland",70416,70975,71615,72130,72528,72952,73521,74012,74692,75021,72532,72238,72594,72831,67114,124800,113900,120400,115400,115500,122700,117700,119000,128400,124500,124800,120600,108600,95300,83600
"Allen County, Ohio",102351,102663,103198,103742,104425,105040,105298,105141,106094,106205,104357,105168,105233,105788,101619,128700,118600,121500,112000,113500,98800,111200,103500,100200,110200,96400,104700,105300,98500,95800
"Franklin County, Massachusetts",70180,70963,70702,70382,70601,70862,71221,71540,71599,71369,71778,71735,71602,72183,70928,244600,238400,230300,230500,226800,226700,221100,216200,214300,227600,222200,218400,221600,207800,193400
"Oswego County, New York",117124,117898,118478,118987,120146,120913,121165,121700,122228,122114,121377,121395,121454,123077,118560,106600,111400,103300,101100,102000,96000,92700,94400,94700,92700,93700,88900,85500,81900,76900
"Wichita County, Texas",132230,132064,132000,131838,131705,132355,132047,131559,130698,131685,127616,127321,128025,125158,114651,113200,99500,100700,95000,98400,91300,88100,93700,87600,86900,89500,86300,84100,80800,74700
"Lucas County, Ohio",428348,429899,430887,432488,433689,435286,436393,437998,440005,441468,463493,440456,441910,445281,437901,124200,117900,116300,115100,106100,107200,99700,101500,107500,115400,115200,128000,128000,123900,118000
"Muskogee County, Oklahoma",67997,68362,69086,69477,69699,69966,70303,70596,71003,71110,71412,71278,71116,71018,67312,96500,113100,107000,105200,97800,89500,97200,86400,84100,90100,91700,82600,84400,74100,75800
"Grant County, Indiana",65769,65936,66491,66937,67979,68569,69126,69330,69793,69975,68796,68609,68847,69825,65632,100500,84500,99600,94100,84900,86100,77500,80600,82500,77400,83900,84400,83000,85200,79200
"Oconee County, South Carolina",79546,78374,77270,76355,75713,75192,75045,74627,74418,74359,71514,71274,70753,70567,68937,166300,165800,160800,152200,159700,137200,151100,140500,135000,129700,130100,131300,129200,112700,97100
"Catawba County, North Carolina",159551,158652,157974,156459,155056,154534,154810,154339,154181,154389,159125,157079,155646,153784,149294,153600,154400,143200,145600,128400,136700,142500,130200,124000,130200,131700,132300,127100,127700,117500
"Kent County, Rhode Island",164292,163861,163760,164614,164801,165128,165035,164843,165535,166103,168752,168058,168639,170053,169719,259600,247700,231500,220200,218800,205900,195500,212900,220400,224800,240900,256800,255400,257300,243800
"Etowah County, Alabama",102268,102501,102755,102564,103057,103531,103931,104392,104303,104462,103645,103303,103217,103362,101151,127500,127800,115200,109400,99200,99700,101900,90500,103600,91700,101900,113200,95600,87000,84200
"Montgomery County, Ohio",531687,532331,531542,531239,532258,533116,535846,534325,537602,535059,532562,534626,538104,542237,531864,125900,125900,118000,113700,111900,106300,107200,106500,114000,115200,116600,122700,120000,118100,116500
"Madison County, Illinois",262966,264461,265428,265759,266209,266560,267225,267883,268459,269271,268457,268078,267347,265303,258567,143100,136600,131600,137700,130300,128200,126300,127700,123500,124700,125900,127500,123800,116300,108900
"Clinton County, New York",80485,80695,80980,81073,81251,81632,81591,81654,81945,82115,81618,81947,82215,82166,75053,152000,135500,136900,130500,128700,130200,121200,131400,115800,131100,117800,112900,114900,107300,98900
"Greenwood County, South Carolina",70811,70741,70355,70133,69838,69520,69723,69756,69835,69703,69671,68549,68259,68213,65436,121700,111400,129400,126000,119900,102100,96600,97800,103800,104900,119100,107800,98300,100700,90500
"Middlesex County, Connecticut",162436,162682,163410,163329,164063,164943,165562,165602,166043,165697,165702,164794,164150,163774,156694,290800,283800,281200,294500,282700,279900,286100,276800,308400,302600,299800,317000,309300,295100,265600
"Barnstable County, Massachusetts",212990,213413,213444,214276,214333,214914,214990,215423,215769,215937,221151,221049,222175,224816,220838,409700,408000,401100,383200,375300,359700,361300,361500,367100,369900,378000,393300,415600,417900,400500
"Hunt County, Texas",98594,96493,93872,92073,89844,88493,87048,87079,86531,86353,82831,82805,82945,83338,80052,133300,144100,137300,102700,112400,85500,89900,88700,89800,97600,96000,97200,87300,81000,86800
"Cumberland County, North Carolina",335509,332330,332546,327127,323838,326328,325871,324049,324885,320267,315207,312696,306518,299060,284231,136700,138700,136500,134300,128600,124100,130800,124500,134400,126900,124200,123300,111200,100900,95300
"Westmoreland County, Pennsylvania",348899,350611,352627,355458,357956,359320,362437,363395,364471,365012,362251,361589,362326,366440,358687,160800,159600,151200,149700,142100,141000,139800,128600,138000,135900,124600,129700,123100,120300,111300
"Bay County, Michigan",103126,103923,104239,104747,105659,106179,106832,106935,107110,107703,107434,107495,107517,108390,107256,108900,105900,102800,100600,94100,104600,88400,90800,90300,95800,104100,116100,117300,109600,105200
"Ross County, Ohio",76666,76931,77313,77000,77170,77159,77910,77429,78249,78090,75972,76073,75398,75556,69435,127600,142100,122900,118300,117200,106400,106000,105700,114300,117300,110700,117000,105900,104300,98300
"Erie County, Ohio",74266,74615,74817,75107,75550,75828,76048,76398,76751,77070,76963,77062,77323,78116,76797,141300,139700,152100,123900,136300,128100,123600,138600,137300,134100,140300,145700,135600,137900,131300
"Madison County, New York",70941,70795,70965,71329,71849,72369,72382,72382,73365,73439,69954,69766,69829,70197,65407,140400,133800,145800,142400,134500,119700,135300,120700,122500,118900,111500,113600,109000,103200,87900
"Cheshire County, New Hampshire",76085,76493,75960,75774,75909,76115,76610,76851,76918,77049,77045,77170,77725,77393,73019,205400,192700,200300,186800,194100,181600,184000,191800,196900,209900,197400,207200,199000,196000,170600
"Talladega County, Alabama",79978,79828,80065,80103,80862,81322,81096,81762,81664,82110,80242,80279,80255,80271,76962,119500,115800,103200,95200,99100,92800,93800,86800,96200,98700,90000,85800,83700,87800,85300
"LaSalle County, Illinois",108669,109430,110067,110642,111333,111241,112183,112973,113518,113840,112498,112474,112616,113065,109658,125300,126300,135300,122700,131400,121700,121300,120900,123400,130200,125900,131400,127800,118500,114500
"Yuma County, Arizona",213787,212128,207534,205631,204275,203247,201201,200022,200870,196509,196972,194322,190557,187555,175793,139100,140600,132500,123300,119400,108900,108800,109200,114200,131800,133800,152800,151600,139800,106800
"Oneida County, New York",228671,229577,231332,231190,232500,232871,233585,233556,234287,234845,231044,231590,232304,233954,219249,137700,135100,124000,125000,117000,116000,113600,112400,111300,105600,106600,103800,102300,91300,82700
"Howard County, Indiana",82544,82366,82363,82568,82556,82982,82760,82849,82800,82770,82895,83381,83776,84500,83865,109800,122900,98500,109400,100800,101500,98000,84800,97300,99900,106400,114200,109300,109000,106700
"Grayson County, Texas",136212,133991,131140,128235,125467,123534,122353,121935,121419,121145,120030,118804,118675,118478,113899,167900,163100,139500,125200,112300,109100,99300,105100,105800,104600,103400,96800,98800,86400,90600
"Orange County, New York",384940,381951,382226,379210,377647,376099,375592,374512,374872,373355,383532,379647,377169,376392,359089,294600,282200,269100,258800,262500,254700,259300,263200,272400,286600,305900,321000,320200,319300,292200
"Tolland County, Connecticut",150721,150921,151461,151118,151420,151367,151377,151539,152507,152781,150461,148406,148139,148140,133557,262900,262700,243600,250100,246900,253200,247700,243000,247600,270000,267800,278000,256100,248200,229000
"Jasper County, Missouri",121328,120636,120217,119111,118596,117543,116398,115258,118435,117770,118179,116813,115240,112505,107992,119200,125200,113900,113500,120600,104300,106200,100900,100200,96600,96300,94800,93400,85300,79400
"Jackson County, Michigan",158510,158823,158640,158460,159494,159741,160369,160309,159748,160201,159828,160180,163006,163851,152954,142900,137300,131300,123700,127800,109400,111000,103300,107200,116600,120700,135000,142800,139400,134500
