NAME,Population_Delta,Population_Delta_Raw,Population_pct_change,HV_pct_change,Population_Price_Discrepancy,NAME
"Story County, Iowa",0.0814493616498674,8364.227599999998,0.3779370034052213,0.3783597518952447,0.0004227484900233,"Story County, Iowa"
"Matanuska-Susitna Borough, Alaska",0.0860875679859845,9611.2019,0.4442074105678591,0.496,0.0517925894321408,"Matanuska-Susitna Borough, Alaska"
"Burleigh County, North Dakota",0.0986526601636011,10248.368399999992,0.3464657842861166,1.3429787234042554,0.9965129391181388,"Burleigh County, North Dakota"
"Brunswick County, North Carolina",0.0856291521358809,11567.491899999994,0.6156839676003439,0.732566498921639,0.1168825313212951,"Brunswick County, North Carolina"
"Gallatin County, Montana",0.1035911501866113,11653.997299999988,0.4757489392981958,0.909635776855694,0.433886837557498,"Gallatin County, Montana"
"Wilson County, Tennessee",0.0846896958408485,12012.105500000003,0.4581770896334825,1.000625,0.5424479103665176,"Wilson County, Tennessee"
"Dorchester County, South Carolina",0.0755645496505527,12585.127599999978,0.4726915840509443,0.6103619588360539,0.1376703747851095,"Dorchester County, South Carolina"
"Washington County, Utah",0.0832939536129814,14218.944300000005,0.5125953060442134,0.591937069813176,0.0793417637689625,"Washington County, Utah"
"Johnson County, Iowa",0.0907997504633561,14377.570099999984,0.3876366841414262,0.6306420851875397,0.2430054010461135,"Johnson County, Iowa"
"Deschutes County, Oregon",0.0757091900999294,14458.582399999985,0.4104636810525039,0.7513765353663702,0.3409128543138662,"Deschutes County, Oregon"
"Lee County, Alabama",0.0919348997907348,15858.698899999988,0.3866210476639924,0.6383169203222918,0.2516958726582993,"Lee County, Alabama"
"Canadian County, Oklahoma",0.1063918759384356,15991.5343,0.5364039449693353,0.5505514705882353,0.0141475256188999,"Canadian County, Oklahoma"
"Baldwin County, Alabama",0.0752686101989393,16679.789499999984,0.3921324070494032,0.5239071038251366,0.1317746967757334,"Baldwin County, Alabama"
"Columbia County, Georgia",0.109493394552929,17850.44809999998,0.5204765739456092,0.5890593729152769,0.0685827989696676,"Columbia County, Georgia"
"Guadalupe County, Texas",0.1058785385737221,18022.10980000001,0.6480994902998933,0.953792502179599,0.3056930118797056,"Guadalupe County, Texas"
"Comal County, Texas",0.1296870067758611,19315.084000000003,0.6478785577146233,1.0222804718217562,0.3744019141071328,"Comal County, Texas"
"Berkeley County, South Carolina",0.0877033892354627,19653.98880000002,0.550651471338663,0.8577586206896551,0.3071071493509921,"Berkeley County, South Carolina"
"Cass County, North Dakota",0.1083334420709151,20884.58970000001,0.4427112246030865,0.959807073954984,0.5170958493518973,"Cass County, North Dakota"
"York County, South Carolina",0.0771393783475111,21138.84589999996,0.5128276916615966,0.6480836236933798,0.1352559320317832,"York County, South Carolina"
"Ector County, Texas",0.1169520598412586,21229.812399999995,0.34777955258613,2.0903954802259888,1.7426159276398587,"Ector County, Texas"
"Brazos County, Texas",0.0909280732316318,21417.564699999988,0.5972669370461736,0.8792544570502431,0.2819875200040694,"Brazos County, Texas"
"Midland County, Texas",0.1307168446147541,24337.083800000026,0.4770464416972937,2.097417840375587,1.6203713986782933,"Midland County, Texas"
"Weld County, Colorado",0.0796868103288595,24884.43060000002,0.4488449139601547,0.8771750255885363,0.4283301116283816,"Weld County, Colorado"
"Durham County, North Carolina",0.076622493251774,25168.232699999997,0.3823100703865023,0.5565978736710444,0.1742878032845421,"Durham County, North Carolina"
